Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
416669,B000EMD1XW,A2HW3HFAEX4JN3,Annette Neeley,1,1,5,1311379200,Favorite Tea,"Cannot find this in stores anymore. I'm not sure if it's seasonal, but this is the only flavored tea my husband and I both like. It's a creamy, caramel flavored tea. Vanilla is not overwhelming which I like. Will definitely keep buying from Amazon!"
475332,B001KP4VMC,A3IUW081KXD3PE,pixels and bits,1,1,5,1251849600,High marks for Chukar's toppings!,"I regularly order Chukar's pie fillings and toppings because I just can't make anything that compares!  The Raspberry Cherry preserves are very well balanced with a not too tart, and not too sweet flavor.  I use this and their other toppings to make crumbles, crisps and also as toppings on ice cream.  Each holiday season we stock up on these for a special treat.  They are also perfect gift items as they are far superior to any variety of topping or preserve that you're going to find in the grocery store.  You just can't beat Pacific Northwestern cherries!"
565645,B002GKEK7G,A2QUKCW69I9JUP,Jill H Anderson,1,1,5,1318982400,"love it, love it, love it!","I was looking for something that would satisfy my iced mocha craving each morning but with a healthier twist.  Enter Click espresso drinks!  In place of my breakfast and iced coffee I now have a Click mocha espresso.  I make mine with half milk & half water.  I also bought a shaker cup to mix it & it works great, tastes great and is actually healthy!  I love it so much I signed up for the automatic delivery each month (2 canisters) where you save an additional 15% through Amazon :)"
190110,B000E18CWI,ACZIC2GCCFA0R,Sunbob,2,4,5,1194566400,Great buy on Thai noodles,"This is a great deal, plus a % off coupon.  Much cheaper and easier than going to the store to buy.  I eat these for lunch and have leftovers for a side for supper."
511270,B004FGWU9O,A3UROAHZHOIMTR,"Maria ""andrewsm51""",0,1,2,1318896000,Mediocre,This coffee is only mediocre in quality. I do not like a highly acidic coffee nor do I like it when the coffee outdates within 6 weeks of the order date. The only reason I am not more dissatified with this lousy coffee is that I paid very little for it by using a credit I had at amazon payments. I do not recommend this coffee.
239499,B000DZH19U,A11OCV5SVJMSI1,Paulette Meadows,0,0,4,1346112000,"Pamela""s Dark Chocolate Chunk Cookies","These cookies are fantastic!  They are very rich and tasty.  Each cookie contains rather large chocolate chunks.  As Tony the Tiger would say, ""GREAT""!!!"
1248,B001FA1L7K,ACSKQVRP8V695,udollsbabygirl,0,0,5,1290384000,Great Deal and So Convenient,Our family loves SPAM and Amazon makes it so easy and such a great deal to buy in bulk.  The 7-ounce size is perfect for our use.  Amazing what you can use SPAM for.  Add it to all your favorite recipes in place of other meats!  Super convenient to have it come in automatic shipments without having to give it a second thought!
489476,B00192CNG2,A37W059EC7B9R,ghe5678,16,16,5,1292371200,Worked like a charm,"I bought this product becuase i had a infestation of what I called ""gnats"", in my plant at work. It is a vine plant, im not really sure the name of it. Anyway, I had lots of little flying bugs that multiplied over the last few months, and after getting a nice warning from my boss, i thought i would get something to save my plant. I threw one of these fertilizer/bug killer sticks into the soil, and within a week or so i am yet to see one. Pretty amazing actually, as I didn't think it would actually work. If the bugs look like gnats, and fly around this product will kill em!<br /><br />You also get 10 of them in the package, which will last quite some time"
59773,B001NZW2V6,A3EV6WG3UYM2E3,Dee,0,0,4,1297814400,great licorice like taste,"They taste a lot like black licorice, especially the after taste. The texture is slightly harder than I anticipated. The boxes were very tiny, which was a surprise. But they were a nice little snack during my time on a strict diet that allowed no carbs and no sugar, almost made me feel like I was cheating."
171482,B000FK63M4,A3MJVL2TYI0BVB,Spoober,1,1,5,1231977600,Best pasta ever!,"Thank goodness for this brand of pasta. It tates just like pasta with gluten only better! Not grainy, mushy, and the texture is perfect!"
249135,B004TPKAN4,A41MKHZQ85J9U,"Gr8ful ""Love a good book""",0,0,2,1321920000,Crispy to the point of questionable burnt,I generally enjoy ginger cookies but these were not to my liking.  The ginger was very strong which is probably a plus to some people but I prefer a more subtle flavor.  The biggest problem was they were incredibly hard (break-a-tooth hard) and seemed a bit burnt.  My daughter (age 21) also tried them and thought they were awful.
370742,B000VVVJ6W,A162AE3LGB770W,Joe Cannizzaro-,0,2,5,1239062400,Good Product,The coconut oil is great.  however when i received them one bottle was broken.
536951,B0081XIAUK,A2UVBIRM4VZKQ9,tlhilt,0,0,1,1345507200,Not for puppies,My puppy just preferred to eat the toy than the treats. My older dogs were curious but did not do any thing. However the red plastic is pretty stong. My dog has been chewing on it for a few days. So if anything it gives your dog something to chew on other than your shoes.
559487,B001E8DHPW,A93A168DZD61R,R. Spencer,2,2,5,1271116800,Amazing product,"First time using this product and I can't say enough good about it. I fry with it, butter toast with it and it gives homemade cake icing a surprisingly wonderful flavor. An excellent healthy alternative that I highly recommend."
561515,B0029JZLMM,A2UAT1U5CL1DZE,Yoshi Ayarane,0,0,4,1348012800,I hope you like spice.,"This pepperoni is chewy and a bit oily-- good if you're into that. It's also got a surprise in the form of a strong paprika aftertaste that kicks in about 10 seconds after you've eaten a piece (or two, or however many you're going to munch on at that instance). If you're sensitive to spicy food, this probably isn't for you.<br /><br />Each package yields enough pepperoni slices to populate roughly two 12"" pizzas (one if you really want to pile on the toppings)."
279370,B000R9Q3ZA,A23NNIZIAMQGOQ,M. Bond,0,0,5,1317513600,Great Pasta,This is very good whole wheat pasta. It isn't sticky/starchy like some other whole wheat pastas and it's organic. It's cheaper buying it at Amazon than it is buying it at the store.
118154,B0054TWQMM,A2E3WMF9RWW2X2,K. Duvall,0,0,5,1337212800,Good product,"These work well in recipes where you want to ""sneak"" in some chia so no one the the family can see it!  Another plus, they are not manufactured with peanut.<br />I use them to sprinkle on oatmeal, cereal, salads, spaghetti, even on pizza.  Easy way to get some healthy fats added without a ton of calories.<br />They also work well in cookies, just be sure and not cook over 350."
299356,B000RI8O26,A22A19DIHY5L0G,"Jezy L ""Jezy""",1,1,5,1249257600,Good flavor all the way :),"I bought this product because my boyfriend has ADHD and has a huge issue when it comes to sleep, even when the product doesn't work particularly with his problem, it relax us a little, I could take this in the office with out being sleepy just relaxed. The flavor is GOOD all the way, you don't have to add anything to make it better and the after flavor is the best, really refreshing."
112735,B0048BL4H0,AVQB6M8K8357R,Ania,0,0,5,1335830400,Healthy and Great Tasting,"I am very happy to have found this cereal. There is no cooking required, I just warm up the milk. Best thing however are the ingredients which do not include sugar - just apple and banana flakes to sweeten the cereal. Just pure good ingredients. It tastes great on its own, so much so that I happily finish any leftovers. Heartier than the typical instant cereals and I honestly feel good about giving it to my child."
